date,open,high,low,prev_close,ltp,close,vwap,52w_high,52w_low,volume,value,no_of_trades
2/25/2020,1164.95,1172,1153,1159.2,1156,1158.1,1157.95,1204,541.25,843953,977258474,14567
2/26/2020,1155,1201,1019.1,1158.1,1179,1178.95,1178.19,1204,541.25,958992,1129878958,43192
2/27/2020,1180,1194.1,1168.95,1178.95,1185,1179.65,1181.73,1204,541.25,534534,631676818,33427
2/28/2020,1164.95,1180,1140,1179.65,1150.1,1162.9,1157.37,1204,541.25,1179172,1364742156,57317
3/2/2020,1164.55,1218,1140.05,1162.9,1145,1155.75,1180.87,1218,541.25,1033147,1220016765,56496
3/3/2020,1161.95,1190,1150,1155.75,1189,1174.2,1168.02,1218,541.25,505336,590243902,45260
3/3/2020,1161.95,1190,1150,1155.75,1189,1174.2,1168.02,1218,541.25,505336,590243902,45260
3/3/2020,1161.95,1190,1150,1155.75,1189,1174.2,1168.02,1218,541.25,505336,590243902,45260
3/3/2020,1161.95,1190,1150,1155.75,1189,1174.2,1168.02,1218,541.25,505336,590243902,45260
3/3/2020,1161.95,1190,1150,1155.75,1189,1174.2,1168.02,1218,541.25,505336,590243902,45260
3/3/2020,1161.95,1190,1150,1155.75,1189,1174.2,1168.02,1218,541.25,505336,590243902,45260
3/3/2020,1161.95,1190,1150,1155.75,1189,1174.2,1168.02,1218,541.25,505336,590243902,45260
3/4/2020,1182,1188,1130,1174.2,1154.1,1153,1159.73,1218,541.25,1420792,1647742129,54662
3/4/2020,1182,1188,1130,1174.2,1154.1,1153,1159.73,1218,541.25,1420792,1647742129,54662
3/4/2020,1182,1188,1130,1174.2,1154.1,1153,1159.73,1218,541.25,1420792,1647742129,54662
3/4/2020,1182,1188,1130,1174.2,1154.1,1153,1159.73,1218,541.25,1420792,1647742129,54662
3/4/2020,1182,1188,1130,1174.2,1154.1,1153,1159.73,1218,541.25,1420792,1647742129,54662
3/4/2020,1182,1188,1130,1174.2,1154.1,1153,1159.73,1218,541.25,1420792,1647742129,54662
3/4/2020,1182,1188,1130,1174.2,1154.1,1153,1159.73,1218,541.25,1420792,1647742129,54662
3/5/2020,1157,1184.8,1143.25,1153,1183,1174.7,1162.37,1218,541.25,1107051,1286806884,66777
3/6/2020,1136,1143.4,1003,1174.7,1130,1133.75,1093.61,1218,541.25,1794701,1962706480,79604
3/9/2020,1104,1113,1043.15,1133.75,1044.15,1063.05,1071.85,1218,541.25,1074118,1151295426,98829
3/11/2020,1063,1077.1,1025,1063.05,1030.25,1029.45,1057.83,1218,541.25,714107,755405619,67882
3/12/2020,955.55,975,920,1029.45,936.9,943.35,945.73,1218,541.25,1016566,961394619,104099
3/13/2020,905,1018.8,841,943.35,979.8,963.15,927.33,1218,541.25,1583723,1468635582,100022
3/16/2020,939,988,881.1,963.15,890,920.05,939.17,1218,541.25,1549800,1455528064,121615
3/17/2020,906,917.75,801.8,920.05,825,843.05,855.1,1218,541.25,1365514,1167646397,79415
3/18/2020,855,855,674.45,843.05,675,683.95,722.4,1218,541.25,3102212,2241039061,122319
3/19/2020,616,664.45,554.65,683.95,630,621.85,618.34,1218,541.25,2546670,1574697232,192086
3/20/2020,649,684,597.55,621.85,630.2,648.2,651.33,1218,541.25,1060698,690863361,124845
3/23/2020,583.4,583.4,583.4,648.2,583.4,583.4,583.4,1218,541.25,100738,58770549,2173
3/24/2020,525.1,544,525.1,583.4,525.1,525.1,525.15,1218,525.1,634927,333431179,6294
3/25/2020,472.6,523,472.6,525.1,472.6,473.1,481.29,1218,472.6,1887175,908287632,50312
3/26/2020,476,496.75,476,473.1,496.75,496.75,495.68,1218,472.6,304011,150690694,4826
3/27/2020,521.55,521.55,521.55,496.75,521.55,521.55,521.55,1218,472.6,601974,313959540,7154
3/30/2020,515,547.6,495.5,521.55,495.5,495.7,519.36,1218,472.6,1195511,620897474,39642
3/31/2020,515,520.45,470.95,495.7,520.45,505.35,487.36,1218,470.95,746322,363729872,48572
4/1/2020,530,530,480.1,505.35,480.1,481.35,499.39,1218,470.95,911795,455337945,65429
4/3/2020,482,482.9,458,481.35,459.35,465.45,467.47,1218,458,722400,337699852,47072
4/7/2020,488.7,488.7,443.6,465.45,474.75,478.4,468.75,1218,443.6,1201289,563100425,43813
4/8/2020,461.2,490,457,478.4,473,480.3,467.65,1218,443.6,1791057,837589013,59410
4/9/2020,482,503.4,475.05,480.3,492,496.4,495.75,1218,443.6,740400,367056909,78366
4/13/2020,499,511.95,476,496.4,492.75,499.75,500.66,1218,443.6,1552553,777300699,86492
4/15/2020,498,509,491,499.75,507.25,502.25,499.09,1218,443.6,648160,323487737,34462
4/16/2020,500,524,495.1,502.25,517,514.1,510.37,1218,443.6,476510,243197936,41324
4/17/2020,525,539.8,524.95,514.1,539.8,539.8,534.81,1218,443.6,730874,390876151,38613
4/20/2020,559,566.75,549,539.8,566.75,565.8,565.14,1218,443.6,679373,383942697,44861
